num_peptides,max_peptides_per_pool,num_replicates,allow_extra_pools,precision,recall,f1,num_pools,num_violations
200,5,2,True,0.961,1.000,0.978,80,0
200,5,2,False,1.000,1.000,1.000,80,0
200,6,2,True,0.930,0.993,0.956,68,0
200,6,2,False,0.946,0.987,0.963,68,0
200,7,2,True,0.834,0.949,0.881,58,0
200,7,2,False,0.863,0.960,0.902,58,0
200,7,3,True,1.000,1.000,1.000,87,0
200,7,3,False,1.000,1.000,1.000,87,0
200,8,2,True,0.761,0.910,0.820,50,0
200,8,2,False,0.747,0.943,0.824,50,0
200,8,3,True,1.000,1.000,1.000,75,0
200,8,3,False,1.000,1.000,1.000,75,0
200,9,2,True,0.667,0.868,0.740,46,0
200,9,2,False,0.601,0.837,0.688,46,0
200,9,3,True,1.000,1.000,1.000,69,0
200,9,3,False,1.000,1.000,1.000,69,0
200,9,4,True,1.000,1.000,1.000,92,0
200,9,4,False,1.000,1.000,1.000,92,0
200,10,2,True,0.606,0.816,0.683,40,0
200,10,2,False,0.668,0.827,0.727,40,0
200,10,3,True,1.000,1.000,1.000,60,0
200,10,3,False,1.000,1.000,1.000,60,0
200,10,4,True,1.000,1.000,1.000,81,0
200,10,4,False,1.000,1.000,1.000,80,46
200,11,2,True,0.457,0.719,0.553,38,0
200,11,2,False,0.570,0.796,0.654,38,0
200,11,3,True,1.000,1.000,1.000,57,0
200,11,3,False,1.000,1.000,1.000,57,0
200,11,4,True,1.000,1.000,1.000,76,0
200,11,4,False,1.000,1.000,1.000,76,0
200,11,5,False,1.000,1.000,1.000,95,36
200,12,2,True,0.386,0.697,0.493,34,0
200,12,2,False,0.552,0.783,0.634,34,0
200,12,3,True,1.000,1.000,1.000,52,0
200,12,3,False,0.963,0.987,0.971,51,24
200,12,4,True,1.000,1.000,1.000,71,0
200,12,4,False,1.000,1.000,1.000,68,52
200,12,5,True,1.000,1.000,1.000,91,0
200,12,5,False,1.000,1.000,1.000,85,238
200,13,2,True,0.465,0.723,0.550,32,0
200,13,2,False,0.488,0.653,0.550,32,0
200,13,3,True,0.970,1.000,0.981,48,0
200,13,3,False,0.983,1.000,0.990,48,0
200,13,4,True,1.000,1.000,1.000,68,0
200,13,4,False,1.000,1.000,1.000,64,118
200,13,5,True,1.000,1.000,1.000,88,0
200,13,5,False,1.000,1.000,1.000,80,232
200,14,2,True,0.401,0.660,0.492,30,0
200,14,2,False,0.355,0.661,0.459,30,0
200,14,3,True,0.958,0.993,0.972,46,0
200,14,3,False,0.925,0.973,0.942,45,14
200,14,4,True,1.000,1.000,1.000,65,0
200,14,4,False,1.000,1.000,1.000,60,178
200,14,5,True,1.000,1.000,1.000,88,0
200,14,5,False,1.000,1.000,1.000,75,426
200,15,2,True,0.409,0.634,0.490,29,0
200,15,2,False,0.351,0.584,0.432,28,26
200,15,3,True,0.910,0.967,0.930,46,0
200,15,3,False,0.870,0.928,0.891,42,104
200,15,4,True,1.000,1.000,1.000,66,0
200,15,4,False,1.000,1.000,1.000,56,336
200,15,5,True,1.000,1.000,1.000,88,0
200,15,5,False,1.000,1.000,1.000,70,716
200,16,2,True,0.277,0.493,0.352,29,0
200,16,2,False,0.278,0.466,0.344,26,74
200,16,3,True,0.971,1.000,0.982,47,0
200,16,3,False,0.805,0.877,0.834,39,254
200,16,4,True,1.000,1.000,1.000,66,0
200,16,4,False,1.000,1.000,1.000,52,644
200,16,5,True,1.000,1.000,1.000,88,0
200,16,5,False,1.000,1.000,1.000,65,1200
200,17,2,True,0.323,0.566,0.410,29,0
200,17,2,False,0.271,0.422,0.324,24,128
200,17,3,True,1.000,1.000,1.000,47,0
200,17,3,False,0.721,0.882,0.777,36,402
200,17,4,True,0.981,1.000,0.989,64,0
200,17,4,False,1.000,1.000,1.000,48,880
200,17,5,True,1.000,1.000,1.000,80,0
200,17,5,False,1.000,1.000,1.000,60,1612
200,18,2,True,0.287,0.514,0.367,29,0
200,18,2,False,0.211,0.382,0.268,24,124
200,18,3,True,0.938,0.982,0.954,47,0
200,18,3,False,0.746,0.868,0.790,36,410
200,18,4,True,0.981,1.000,0.989,64,0
200,18,4,False,1.000,1.000,1.000,48,898
200,18,5,True,1.000,1.000,1.000,80,0
200,18,5,False,1.000,1.000,1.000,60,1652
200,19,2,True,0.391,0.606,0.469,30,0
200,19,2,False,0.192,0.331,0.241,22,220
200,19,3,True,0.859,0.985,0.907,48,0
200,19,3,False,0.638,0.792,0.696,33,660
200,19,4,True,0.981,1.000,0.989,64,0
200,19,4,False,0.961,0.980,0.969,44,1384
200,19,5,True,1.000,1.000,1.000,80,0
200,19,5,False,1.000,1.000,1.000,55,2320
200,20,2,True,0.380,0.637,0.472,30,0
200,20,2,False,0.176,0.299,0.217,20,292
200,20,3,True,0.942,0.980,0.957,48,0
200,20,3,False,0.546,0.722,0.606,30,858
200,20,4,True,0.978,1.000,0.987,64,0
200,20,4,False,0.927,0.980,0.950,40,1710
200,20,5,True,1.000,1.000,1.000,80,0
200,20,5,False,1.000,1.000,1.000,50,2820
200,21,2,True,0.365,0.635,0.460,30,0
200,21,2,False,0.189,0.293,0.227,20,288
200,21,3,True,0.834,0.957,0.883,48,0
200,21,3,False,0.517,0.728,0.589,30,870
200,21,4,True,1.000,1.000,1.000,64,0
200,21,4,False,0.922,0.985,0.947,40,1754
200,21,5,True,1.000,1.000,1.000,80,0
200,21,5,False,1.000,1.000,1.000,50,2852
200,22,2,True,0.340,0.494,0.395,30,0
200,22,2,False,0.233,0.399,0.292,20,290
200,22,3,True,0.936,0.983,0.956,48,0
200,22,3,False,0.467,0.684,0.548,30,888
200,22,4,True,0.981,1.000,0.989,64,0
200,22,4,False,0.956,0.980,0.966,40,1650
200,22,5,True,1.000,1.000,1.000,80,0
200,22,5,False,0.978,1.000,0.987,50,2840
200,23,2,True,0.394,0.634,0.479,32,0
200,23,2,False,0.196,0.302,0.236,18,396
200,23,3,True,0.929,0.987,0.953,48,0
200,23,3,False,0.520,0.675,0.579,27,1230
200,23,4,True,1.000,1.000,1.000,64,0
200,23,4,False,0.762,0.872,0.803,36,2400
200,23,5,True,1.000,1.000,1.000,80,0
200,23,5,False,1.000,1.000,1.000,45,3836
200,24,2,True,0.377,0.533,0.434,32,0
200,24,2,False,0.202,0.325,0.245,18,416
200,24,3,True,0.874,0.983,0.916,48,0
200,24,3,False,0.520,0.694,0.587,27,1188
200,24,4,True,0.978,1.000,0.987,64,0
200,24,4,False,0.872,0.916,0.889,36,2334
200,24,5,True,1.000,1.000,1.000,80,0
200,24,5,False,1.000,1.000,1.000,45,3842
200,25,2,True,0.499,0.736,0.585,32,0
200,25,2,False,0.152,0.235,0.184,16,538
200,25,3,True,0.869,0.953,0.904,48,0
200,25,3,False,0.385,0.625,0.470,24,1544
200,25,4,True,1.000,1.000,1.000,64,0
200,25,4,False,0.727,0.847,0.772,32,3026
200,25,5,True,1.000,1.000,1.000,80,0
200,25,5,False,0.887,0.933,0.905,40,5042
200,26,2,True,0.422,0.676,0.511,32,0
200,26,2,False,0.088,0.102,0.094,16,560
200,26,3,True,0.906,0.993,0.937,48,0
200,26,3,False,0.408,0.633,0.492,24,1582
200,26,4,True,1.000,1.000,1.000,64,0
200,26,4,False,0.678,0.837,0.737,32,3014
200,26,5,True,1.000,1.000,1.000,80,0
200,26,5,False,0.906,0.925,0.913,40,4934
200,27,2,True,0.372,0.544,0.433,32,0
200,27,2,False,0.158,0.209,0.175,16,528
200,27,3,True,0.903,0.947,0.921,48,0
200,27,3,False,0.422,0.582,0.480,24,1574
200,27,4,True,1.000,1.000,1.000,64,0
200,27,4,False,0.806,0.865,0.829,32,3096
200,27,5,True,1.000,1.000,1.000,80,0
200,27,5,False,0.937,0.987,0.956,40,4976
200,28,2,True,0.450,0.653,0.526,32,0
200,28,2,False,0.159,0.234,0.187,16,518
200,28,3,True,0.849,0.960,0.891,48,0
200,28,3,False,0.386,0.544,0.442,24,1626
200,28,4,True,1.000,1.000,1.000,64,0
200,28,4,False,0.739,0.867,0.787,32,3092
200,28,5,True,1.000,1.000,1.000,80,0
200,28,5,False,0.917,0.957,0.934,40,4942
200,29,2,True,0.405,0.623,0.485,32,0
